appid,name,tag_id,tag_name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,review_score_desc,priority
1256670,Library Of Ruina,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.45,13550,7146,90.34,70,Reviews_ASC,Very Positive,154
457140,Oxygen Not Included,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.78,48596,4759,95.59,69,Reviews_ASC,Overwhelmingly Positive,155
427520,Factorio,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.51,115584,4050,98.35,27,Reviews_ASC,Overwhelmingly Positive,156
435150,Divinity: Original Sin 2 - Definitive Edition,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.68,82790,4007,94.91,158,Reviews_DESC,Overwhelmingly Positive,157
526870,Satisfactory,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.25,133713,3909,96.75,30,Reviews_DESC,Overwhelmingly Positive,158
1092790,Inscryption,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.85,75317,3618,94.42,82,Reviews_DESC,Overwhelmingly Positive,159
508440,Totally Accurate Battle Simulator,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.82,82981,3035,95.85,144,Reviews_ASC,Overwhelmingly Positive,160
1313140,Cult of the Lamb,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.86,58771,2615,93.31,92,Reviews_ASC,Overwhelmingly Positive,161
286160,Tabletop Simulator,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.94,31327,2562,95.12,41,Reviews_ASC,Overwhelmingly Positive,162
1113000,Persona 4 Golden,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.03,44992,2485,95.53,41,Reviews_DESC,Overwhelmingly Positive,163
48700,Mount & Blade: Warband,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.72,54778,2370,97.09,347,_ASC,Overwhelmingly Positive,164
2379780,Balatro,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.87,101189,2339,97.56,35,Reviews_DESC,Overwhelmingly Positive,165
736260,Baba Is You,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.74,12363,2280,98.11,45,Reviews_DESC,Overwhelmingly Positive,166
1948280,Stacklands,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.09,11680,2198,95.86,87,Reviews_DESC,Overwhelmingly Positive,167
2835570,Buckshot Roulette,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.31,34480,2137,94.29,90,Reviews_ASC,Overwhelmingly Positive,168
813780,Age of Empires II: Definitive Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.96,60589,2074,89.2,18,Reviews_ASC,Very Positive,169
2161700,Persona 3 Reload,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.39,21244,1862,93.56,54,Reviews_ASC,Very Positive,170
960090,Bloons TD 6,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.2,226351,1851,95.52,28,Reviews_DESC,Overwhelmingly Positive,171
239030,"Papers, Please",9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.3,39093,1812,95.2,40,Reviews_DESC,Overwhelmingly Positive,172
240,Counter-Strike: Source,9,Strategy,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.29,44681,1727,91.02,80,Reviews_DESC,Overwhelmingly Positive,173
