appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
285310,RollerCoaster Tycoon®: Deluxe,90-100,94.0,207,93.72,614,Very Positive,272
3631290,Slots & Daggers,90-100,94.0,299,90.97,616,Very Positive,273
450390,The Lab,90-100,95.0,129,92.25,619,Overwhelmingly Positive,274
453090,Parkitect,90-100,94.0,443,94.36,620,Very Positive,275
960690,One Step From Eden,90-100,94.0,392,92.35,623,Very Positive,276
251990,Long Live The Queen,90-100,94.0,354,94.63,625,Very Positive,277
466300,Planescape: Torment: Enhanced Edition,90-100,94.0,151,84.77,632,Very Positive,278
1534980,Terminus: Zombie Survivors,90-100,94.0,866,97.81,636,Very Positive,279
2128480,Staffer Case: A Supernatural Mystery Adventure,90-100,94.0,2226,95.64,638,Very Positive,280
540840,Lara Croft GO,90-100,92.0,120,90.83,645,Very Positive,281
218410,Defender's Quest: Valley of the Forgotten (DX edition),90-100,95.0,155,91.61,650,Overwhelmingly Positive,282
322450,FRAMED Collection,90-100,90.0,179,94.41,655,Very Positive,283
322170,Geometry Dash,90-100,93.0,6878,88.78,808,Very Positive,284
648800,Raft,90-100,93.0,10557,90.68,809,Very Positive,285
674940,Stick Fight: The Game,90-100,94.0,858,91.03,810,Very Positive,286
282070,This War of Mine,90-100,92.0,3936,95.2,811,Very Positive,287
200510,XCOM: Enemy Unknown,90-100,92.0,1600,94.88,813,Very Positive,288
10180,Call of Duty®: Modern Warfare® 2 (2009),90-100,91.0,730,95.62,814,Very Positive,289
738060,Freddy Fazbear's Pizzeria Simulator,90-100,93.0,201,87.56,815,Very Positive,290
569480,Kingdoms and Castles,90-100,93.0,407,86.73,816,Very Positive,291
326460,ShellShock Live,90-100,93.0,129,93.8,817,Very Positive,292
237930,Transistor,90-100,93.0,694,90.06,818,Very Positive,293
3117820,Sultan's Game,90-100,92.0,503,98.01,820,Very Positive,294
332800,Five Nights at Freddy's 2,90-100,93.0,388,93.04,821,Very Positive,295
447020,Farming Simulator 17,90-100,92.0,186,79.57,822,Very Positive,296
388090,Five Nights at Freddy's 4,90-100,92.0,236,83.47,824,Very Positive,297
282800,100% Orange Juice,90-100,94.0,799,88.24,825,Very Positive,298
397950,Clustertruck,90-100,93.0,116,91.38,826,Very Positive,299
601840,Griftlands,90-100,93.0,177,85.88,827,Very Positive,300
