tag_id,tag_name,appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort
9,Strategy,223750,DCS World Steam Edition,Very Positive,Very Positive,매우 긍정적,84.0,22830,550,90.73,125,Reviews_ASC
9,Strategy,645630,Car Mechanic Simulator 2018,Very Positive,Very Positive,매우 긍정적,90.0,21620,321,83.49,475,Reviews_ASC
9,Strategy,201270,Total War: SHOGUN 2,Very Positive,Very Positive,매우 긍정적,92.0,21493,1427,91.38,159,Reviews_ASC
9,Strategy,47890,The Sims™ 3,Very Positive,Very Positive,매우 긍정적,86.0,20405,665,82.86,172,Reviews_ASC
9,Strategy,601510,Yu-Gi-Oh! Duel Links,Very Positive,Very Positive,매우 긍정적,81.0,20339,1366,74.6,106,Reviews_ASC
9,Strategy,1244460,Jurassic World Evolution 2,Very Positive,Very Positive,매우 긍정적,90.0,20011,1047,84.15,299,Reviews_ASC
9,Strategy,1139900,Ghostrunner,Very Positive,Very Positive,매우 긍정적,91.0,19217,1228,85.75,627,Reviews_ASC
9,Strategy,644930,They Are Billions,Very Positive,Very Positive,매우 긍정적,80.0,18812,1957,83.9,210,Reviews_ASC
9,Strategy,933110,Age of Empires III: Definitive Edition,Very Positive,Very Positive,매우 긍정적,84.0,18555,623,72.71,161,Reviews_ASC
9,Strategy,364360,Total War: WARHAMMER,Very Positive,Very Positive,매우 긍정적,82.0,18129,1023,86.41,107,Reviews_ASC
9,Strategy,1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,Very Positive,Very Positive,매우 긍정적,81.0,18101,361,83.93,220,Reviews_ASC
9,Strategy,637090,BATTLETECH,Very Positive,Very Positive,매우 긍정적,85.0,18069,202,74.75,572,_ASC
9,Strategy,589290,Holdfast: Nations At War,Very Positive,Very Positive,매우 긍정적,90.0,18068,289,84.08,315,Reviews_ASC
9,Strategy,1213210,Command & Conquer™ Remastered Collection,Very Positive,Very Positive,매우 긍정적,91.0,17704,493,88.44,735,Reviews_ASC
9,Strategy,633230,NARUTO TO BORUTO: SHINOBI STRIKER,Very Positive,Very Positive,매우 긍정적,85.0,17622,316,61.39,528,Reviews_ASC
9,Strategy,779340,Total War: THREE KINGDOMS,Very Positive,Very Positive,매우 긍정적,84.0,17266,5991,88.25,89,Reviews_ASC
9,Strategy,10180,Call of Duty®: Modern Warfare® 2 (2009),Very Positive,Very Positive,매우 긍정적,91.0,16872,730,95.62,150,Reviews_ASC
